ProductID,ProductName,ProductGroupID,Price,Description,StockQuantity,SKU,SupplierID,ManufactureDate,ExpiryDate
101,Smartphone A,1,100,High-end smartphone,50,SM-A-1234,1,1/1/2023,1/1/2026
102,Smartphone B,1,150,Mid-range smartphone,60,SM-B-2345,1,2/1/2023,2/1/2026
103,Smartphone C,1,200,Budget smartphone,70,SM-C-3456,2,3/1/2023,3/1/2026
104,Tablet A,2,250,High-end tablet,40,TB-A-4567,2,4/1/2023,4/1/2026
105,Tablet B,2,300,Mid-range tablet,30,TB-B-5678,3,5/1/2023,5/1/2026
106,Tablet C,2,350,Budget tablet,20,TB-C-6789,3,6/1/2023,6/1/2026
107,Laptop A,3,400,High-end laptop,15,LP-A-7890,4,7/1/2023,7/1/2026
108,Laptop B,3,450,Mid-range laptop,25,LP-B-8901,4,8/1/2023,8/1/2026
109,Laptop C,3,500,Budget laptop,35,LP-C-9012,5,9/1/2023,9/1/2026
110,Desktop A,4,550,High-end desktop,45,DT-A-0123,5,10/1/2023,10/1/2026
111,Desktop B,4,600,Mid-range desktop,55,DT-B-1234,1,11/1/2023,11/1/2026
112,Desktop C,4,650,Budget desktop,65,DT-C-2345,1,12/1/2023,12/1/2026
113,Smartwatch A,5,100,High-end smartwatch,75,SW-A-3456,2,1/15/2023,1/15/2026
114,Smartwatch B,5,150,Mid-range smartwatch,85,SW-B-4567,2,2/15/2023,2/15/2026
115,Smartwatch C,5,200,Budget smartwatch,95,SW-C-5678,3,3/15/2023,3/15/2026
116,Headphones A,6,250,High-end headphones,105,HP-A-6789,3,4/15/2023,4/15/2026
117,Headphones B,6,300,Mid-range headphones,115,HP-B-7890,4,5/15/2023,5/15/2026
118,Headphones C,6,350,Budget headphones,125,HP-C-8901,4,6/15/2023,6/15/2026
119,Speaker A,7,400,High-end speaker,135,SP-A-9012,5,7/15/2023,7/15/2026
120,Speaker B,7,450,Mid-range speaker,145,SP-B-0123,5,8/15/2023,8/15/2026
121,Speaker C,7,500,Budget speaker,155,SP-C-1234,1,9/15/2023,9/15/2026
122,Camera A,8,550,High-end camera,165,CA-A-2345,1,10/15/2023,10/15/2026
123,Camera B,8,600,Mid-range camera,175,CA-B-3456,2,11/15/2023,11/15/2026
124,Camera C,8,650,Budget camera,185,CA-C-4567,2,12/15/2023,12/15/2026
125,Monitor A,9,700,High-end monitor,195,MO-A-5678,3,1/30/2023,1/30/2026
126,Monitor B,9,750,Mid-range monitor,205,MO-B-6789,3,2023-02-30,2026-02-30
127,Monitor C,9,800,Budget monitor,215,MO-C-7890,4,3/30/2023,3/30/2026
128,Keyboard A,10,850,High-end keyboard,225,KB-A-8901,4,4/30/2023,4/30/2026
129,Keyboard B,10,900,Mid-range keyboard,235,KB-B-9012,5,5/30/2023,5/30/2026
130,Keyboard C,10,950,Budget keyboard,245,KB-C-0123,5,6/30/2023,6/30/2026
